genre,rating,episodes,members
drama,8.83,4,129307
historical,8.83,4,129307
martial arts,8.83,4,129307
romance,8.83,4,129307
samurai,8.83,4,129307
action,8.82,26,486824
adventure,8.82,26,486824
comedy,8.82,26,486824
drama,8.82,26,486824
sci-fi,8.82,26,486824
space,8.82,26,486824
action,8.82,12,552458
comedy,8.82,12,552458
parody,8.82,12,552458
sci-fi,8.82,12,552458
seinen,8.82,12,552458
super power,8.82,12,552458
supernatural,8.82,12,552458
action,8.81,1,339556
adventure,8.81,1,339556
fantasy,8.81,1,339556
comedy,8.81,1,240297
mystery,8.81,1,240297
romance,8.81,1,240297
school,8.81,1,240297
sci-fi,8.81,1,240297
supernatural,8.81,1,240297
comedy,8.8,26,205959
mystery,8.8,26,205959
romance,8.8,26,205959
supernatural,8.8,26,205959
vampire,8.8,26,205959
adventure,8.8,10,101351
fantasy,8.8,10,101351
historical,8.8,10,101351
mystery,8.8,10,101351
seinen,8.8,10,101351
slice of life,8.8,10,101351
supernatural,8.8,10,101351
adventure,8.78,26,300030
fantasy,8.78,26,300030
historical,8.78,26,300030
mystery,8.78,26,300030
seinen,8.78,26,300030
slice of life,8.78,26,300030
supernatural,8.78,26,300030
action,8.78,27,562962
adventure,8.78,27,562962
comedy,8.78,27,562962
mecha,8.78,27,562962
sci-fi,8.78,27,562962
comedy,8.77,43,268487
drama,8.77,43,268487
school,8.77,43,268487
shounen,8.77,43,268487
slice of life,8.77,43,268487
drama,8.76,13,38865
fantasy,8.76,13,38865
shoujo,8.76,13,38865
slice of life,8.76,13,38865
supernatural,8.76,13,38865
comedy,8.75,26,88995
drama,8.75,26,88995
shounen,8.75,26,88995
sports,8.75,26,88995
adventure,8.75,1,32266
fantasy,8.75,1,32266
historical,8.75,1,32266
mystery,8.75,1,32266
seinen,8.75,1,32266
slice of life,8.75,1,32266
supernatural,8.75,1,32266
drama,8.75,13,98431
fantasy,8.75,13,98431
shoujo,8.75,13,98431
slice of life,8.75,13,98431
supernatural,8.75,13,98431
adventure,8.74,1,333186
drama,8.74,1,333186
fantasy,8.74,1,333186
romance,8.74,1,333186
action,8.73,12,340973
fantasy,8.73,12,340973
supernatural,8.73,12,340973
thriller,8.73,12,340973
action,8.73,1,34347
mystery,8.73,1,34347
supernatural,8.73,1,34347
vampire,8.73,1,34347
drama,8.72,74,247562
horror,8.72,74,247562
mystery,8.72,74,247562
police,8.72,74,247562
psychological,8.72,74,247562
seinen,8.72,74,247562
thriller,8.72,74,247562
comedy,8.71,25,133620
drama,8.71,25,133620
romance,8.71,25,133620
shounen,8.71,25,133620
mystery,8.71,37,1013917
police,8.71,37,1013917
psychological,8.71,37,1013917
supernatural,8.71,37,1013917
thriller,8.71,37,1013917
comedy,8.69,2,16947
parody,8.69,2,16947
action,8.68,25,176475
comedy,8.68,25,176475
school,8.68,25,176475
shounen,8.68,25,176475
comedy,8.68,25,284498
drama,8.68,25,284498
school,8.68,25,284498
shounen,8.68,25,284498
sports,8.68,25,284498
comedy,8.68,25,66756
drama,8.68,25,66756
shounen,8.68,25,66756
sports,8.68,25,66756
action,8.68,1,111074
drama,8.68,1,111074
mystery,8.68,1,111074
romance,8.68,1,111074
supernatural,8.68,1,111074
thriller,8.68,1,111074
drama,8.67,13,102322
fantasy,8.67,13,102322
shoujo,8.67,13,102322
slice of life,8.67,13,102322
supernatural,8.67,13,102322
psychological,8.67,11,97187
seinen,8.67,11,97187
sports,8.67,11,97187
adventure,8.66,1,49036
fantasy,8.66,1,49036
historical,8.66,1,49036
mystery,8.66,1,49036
seinen,8.66,1,49036
slice of life,8.66,1,49036
supernatural,8.66,1,49036
mystery,8.65,12,402381
psychological,8.65,12,402381
seinen,8.65,12,402381
supernatural,8.65,12,402381
mystery,8.65,11,122531
psychological,8.65,11,122531
romance,8.65,11,122531
fantasy,8.64,13,56162
sci-fi,8.64,13,56162
shounen,8.64,13,56162
slice of life,8.64,13,56162
comedy,8.64,4,33422
demons,8.64,4,33422
fantasy,8.64,4,33422
shoujo,8.64,4,33422
supernatural,8.64,4,33422
drama,8.64,26,139474
historical,8.64,26,139474
seinen,8.64,26,139474
thriller,8.64,26,139474
drama,8.64,25,355839
fantasy,8.64,25,355839
psychological,8.64,25,355839
thriller,8.64,25,355839
action,8.64,1,82253
mecha,8.64,1,82253
sci-fi,8.64,1,82253
space,8.64,1,82253
super power,8.64,1,82253
drama,8.64,13,114173
fantasy,8.64,13,114173
shoujo,8.64,13,114173
slice of life,8.64,13,114173
supernatural,8.64,13,114173
drama,8.62,11,463835
slice of life,8.62,11,463835
supernatural,8.62,11,463835
comedy,8.62,25,184525
school,8.62,25,184525
shounen,8.62,25,184525
sports,8.62,25,184525
sci-fi,8.61,1,192424
thriller,8.61,1,192424
drama,8.61,1,197439
romance,8.61,1,197439
shoujo,8.61,1,197439
supernatural,8.61,1,197439
comedy,8.61,12,103178
sports,8.61,12,103178
action,8.6,2,11104
comedy,8.6,2,11104
historical,8.6,2,11104
parody,8.6,2,11104
samurai,8.6,2,11104
sci-fi,8.6,2,11104
shounen,8.6,2,11104
action,8.6,24,93657
adventure,8.6,24,93657
drama,8.6,24,93657
shounen,8.6,24,93657
supernatural,8.6,24,93657
action,8.59,1,51185
comedy,8.59,1,51185
historical,8.59,1,51185
parody,8.59,1,51185
samurai,8.59,1,51185
sci-fi,8.59,1,51185
shounen,8.59,1,51185
action,8.59,10,297454
horror,8.59,10,297454
military,8.59,10,297454
seinen,8.59,10,297454
supernatural,8.59,10,297454
vampire,8.59,10,297454
action,8.59,24,425457
drama,8.59,24,425457
horror,8.59,24,425457
psychological,8.59,24,425457
sci-fi,8.59,24,425457
seinen,8.59,24,425457
drama,8.59,13,71295
historical,8.59,13,71295
josei,8.59,13,71295
comedy,8.59,99,72958
sci-fi,8.59,99,72958
seinen,8.59,99,72958
slice of life,8.59,99,72958
space,8.59,99,72958
adventure,8.58,1,80825
supernatural,8.58,1,80825
drama,8.58,1,174878
historical,8.58,1,174878
comedy,8.58,25,243325
school,8.58,25,243325
shounen,8.58,25,243325
sports,8.58,25,243325
comedy,8.58,25,28653
drama,8.58,25,28653
romance,8.58,25,28653
sports,8.58,25,28653
action,8.58,Unknown,504862
adventure,8.58,Unknown,504862
comedy,8.58,Unknown,504862
drama,8.58,Unknown,504862
fantasy,8.58,Unknown,504862
shounen,8.58,Unknown,504862
super power,8.58,Unknown,504862
action,8.57,26,113993
mecha,8.57,26,113993
military,8.57,26,113993
mystery,8.57,26,113993
police,8.57,26,113993
sci-fi,8.57,26,113993
seinen,8.57,26,113993
action,8.57,39,74074
adventure,8.57,39,74074
comedy,8.57,39,74074
drama,8.57,39,74074
shounen,8.57,39,74074
supernatural,8.57,39,74074
action,8.57,1,95658
mystery,8.57,1,95658
romance,8.57,1,95658
supernatural,8.57,1,95658
thriller,8.57,1,95658
action,8.57,39,31234
historical,8.57,39,31234
military,8.57,39,31234
seinen,8.57,39,31234
comedy,8.56,101,82570
drama,8.56,101,82570
school,8.56,101,82570
shounen,8.56,101,82570
sports,8.56,101,82570
josei,8.56,11,194855
slice of life,8.56,11,194855
military,8.55,1,25641
school,8.55,1,25641
action,8.55,12,193716
comedy,8.55,12,193716
slice of life,8.55,12,193716
supernatural,8.55,12,193716
comedy,8.55,47,197256
drama,8.55,47,197256
music,8.55,47,197256
romance,8.55,47,197256
shoujo,8.55,47,197256
slice of life,8.55,47,197256
action,8.54,13,363215
comedy,8.54,13,363215
historical,8.54,13,363215
mystery,8.54,13,363215
seinen,8.54,13,363215
supernatural,8.54,13,363215
adventure,8.54,1,34011
fantasy,8.54,1,34011
historical,8.54,1,34011
mystery,8.54,1,34011
seinen,8.54,1,34011
slice of life,8.54,1,34011
supernatural,8.54,1,34011
action,8.54,25,896229
drama,8.54,25,896229
fantasy,8.54,25,896229
shounen,8.54,25,896229
super power,8.54,25,896229
comedy,8.53,25,151561
drama,8.53,25,151561
romance,8.53,25,151561
shounen,8.53,25,151561
comedy,8.53,50,53108
drama,8.53,50,53108
romance,8.53,50,53108
school,8.53,50,53108
sports,8.53,50,53108
romance,8.53,1,28864
school,8.53,1,28864
shounen ai,8.53,1,28864
slice of life,8.53,1,28864
action,8.53,1,182224
mecha,8.53,1,182224
sci-fi,8.53,1,182224
drama,8.53,25,288376
horror,8.53,25,288376
mystery,8.53,25,288376
sci-fi,8.53,25,288376
supernatural,8.53,25,288376
action,8.53,26,44223
drama,8.53,26,44223
military,8.53,26,44223
sci-fi,8.53,26,44223
space,8.53,26,44223
drama,8.52,25,86074
game,8.52,25,86074
josei,8.52,25,86074
slice of life,8.52,25,86074
sports,8.52,25,86074
action,8.51,13,453630
fantasy,8.51,13,453630
supernatural,8.51,13,453630
action,8.51,26,190197
adventure,8.51,26,190197
shounen,8.51,26,190197
supernatural,8.51,26,190197
vampire,8.51,26,190197
drama,8.51,12,462974
magic,8.51,12,462974
psychological,8.51,12,462974
thriller,8.51,12,462974
comedy,8.52,26,254436
school,8.52,26,254436
slice of life,8.52,26,254436
action,8.5,22,509109
police,8.5,22,509109
psychological,8.5,22,509109
sci-fi,8.5,22,509109
comedy,8.5,12,225927
slice of life,8.5,12,225927
comedy,8.5,51,38531
school,8.5,51,38531
shounen,8.5,51,38531
sports,8.5,51,38531
action,8.5,25,245026
adventure,8.5,25,245026
fantasy,8.5,25,245026
magic,8.5,25,245026
shounen,8.5,25,245026
drama,8.5,1,135735
magic,8.5,1,135735
psychological,8.5,1,135735
thriller,8.5,1,135735
comedy,8.5,2,13405
drama,8.5,2,13405
sports,8.5,2,13405
action,8.5,26,390076
adventure,8.5,26,390076
comedy,8.5,26,390076
historical,8.5,26,390076
samurai,8.5,26,390076
shounen,8.5,26,390076
action,8.49,12,207241
adventure,8.49,12,207241
historical,8.49,12,207241
martial arts,8.49,12,207241
romance,8.49,12,207241
drama,8.49,1,85361
magic,8.49,1,85361
psychological,8.49,1,85361
thriller,8.49,1,85361
comedy,8.49,25,24788
drama,8.49,25,24788
sports,8.49,25,24788
demons,8.49,12,88850
fantasy,8.49,12,88850
historical,8.49,12,88850
horror,8.49,12,88850
mystery,8.49,12,88850
seinen,8.49,12,88850
supernatural,8.49,12,88850
comedy,8.49,24,146895
drama,8.49,24,146895
drama,8.48,47,6259
sports,8.48,47,6259
action,8.48,62,166255
adventure,8.48,62,166255
shounen,8.48,62,166255
super power,8.48,62,166255
action,8.48,13,299434
adventure,8.48,13,299434
shounen,8.48,13,299434
supernatural,8.48,13,299434
drama,8.48,12,146592
josei,8.48,12,146592
music,8.48,12,146592
romance,8.48,12,146592
school,8.48,12,146592
adventure,8.48,1,271484
comedy,8.48,1,271484
supernatural,8.48,1,271484
action,8.47,26,194491
mecha,8.47,26,194491
military,8.47,26,194491
police,8.47,26,194491
sci-fi,8.47,26,194491
seinen,8.47,26,194491
adventure,8.47,1,143273
fantasy,8.47,1,143273
adventure,8.47,33,15074
drama,8.47,33,15074
historical,8.47,33,15074
slice of life,8.47,33,15074
action,8.47,112,195017
comedy,8.47,112,195017
demons,8.47,112,195017
fantasy,8.47,112,195017
martial arts,8.47,112,195017
school,8.47,112,195017
shounen,8.47,112,195017
action,8.46,13,102822
adventure,8.46,13,102822
slice of life,8.46,13,102822
comedy,8.46,25,338315
school,8.46,25,338315
shounen,8.46,25,338315
sports,8.46,25,338315
comedy,8.46,23,157025
drama,8.46,23,157025
josei,8.46,23,157025
music,8.46,23,157025
romance,8.46,23,157025
slice of life,8.46,23,157025
adventure,8.46,12,210491
fantasy,8.46,12,210491
historical,8.46,12,210491
romance,8.46,12,210491
action,8.45,2,92543
fantasy,8.45,2,92543
shoujo,8.45,2,92543
supernatural,8.45,2,92543
sci-fi,8.46,1,159548
thriller,8.46,1,159548
action,8.45,13,205987
fantasy,8.45,13,205987
magic,8.45,13,205987
shounen,8.45,13,205987
supernatural,8.45,13,205987
drama,8.45,50,36751
fantasy,8.45,50,36751
mystery,8.45,1,99579
supernatural,8.45,1,99579
vampire,8.45,1,99579
dementia,8.45,1,215630
drama,8.45,1,215630
mecha,8.45,1,215630
psychological,8.45,1,215630
sci-fi,8.45,1,215630
comedy,8.45,25,633817
romance,8.45,25,633817
school,8.45,25,633817
slice of life,8.45,25,633817
adventure,8.44,1,289206
drama,8.44,1,289206
romance,8.44,1,289206
sci-fi,8.44,1,289206
action,8.44,3,57963
adventure,8.44,3,57963
drama,8.44,3,57963
fantasy,8.44,3,57963
romance,8.44,3,57963
shounen,8.44,3,57963
comedy,8.43,12,107855
mystery,8.43,12,107855
supernatural,8.43,12,107855
action,8.43,94,218928
adventure,8.43,94,218928
comedy,8.43,94,218928
historical,8.43,94,218928
romance,8.43,94,218928
samurai,8.43,94,218928
action,8.43,1,125503
adventure,8.43,1,125503
historical,8.43,1,125503
samurai,8.43,1,125503
adventure,8.42,1,28462
mystery,8.42,1,28462
police,8.42,1,28462
shounen,8.42,1,28462
action,8.42,12,267484
fantasy,8.42,12,267484
magic,8.42,12,267484
shounen,8.42,12,267484
supernatural,8.42,12,267484
comedy,8.42,26,41061
drama,8.42,26,41061
shounen,8.42,26,41061
sports,8.42,26,41061
action,8.42,6,15420
mecha,8.42,6,15420
military,8.42,6,15420
sci-fi,8.42,6,15420
shounen,8.42,6,15420
space,8.42,6,15420
drama,8.42,13,210736
fantasy,8.42,13,210736
shoujo,8.42,13,210736
slice of life,8.42,13,210736
supernatural,8.42,13,210736
action,8.42,1,85020
adventure,8.42,1,85020
comedy,8.42,1,85020
drama,8.42,1,85020
fantasy,8.42,1,85020
shounen,8.42,1,85020
mystery,8.41,24,218101
psychological,8.41,24,218101
supernatural,8.41,24,218101
thriller,8.41,24,218101
action,8.41,8,53168
adventure,8.41,8,53168
shounen,8.41,8,53168
super power,8.41,8,53168
action,8.41,14,55787
adventure,8.41,14,55787
shounen,8.41,14,55787
super power,8.41,14,55787
comedy,8.41,2,67261
demons,8.41,2,67261
fantasy,8.41,2,67261
historical,8.41,2,67261
mystery,8.41,2,67261
shounen,8.41,2,67261
supernatural,8.41,2,67261
comedy,8.41,26,30689
drama,8.41,26,30689
shounen,8.41,26,30689
sports,8.41,26,30689
psychological,8.41,25,83056
seinen,8.41,25,83056
sports,8.41,25,83056
comedy,8.4,26,148328
drama,8.4,26,148328
music,8.4,26,148328
shounen,8.4,26,148328
slice of life,8.4,26,148328
action,8.4,25,226430
adventure,8.4,25,226430
demons,8.4,25,226430
drama,8.4,25,226430
fantasy,8.4,25,226430
horror,8.4,25,226430
military,8.4,25,226430
romance,8.4,25,226430
seinen,8.4,25,226430
supernatural,8.4,25,226430
action,8.4,1,137636
drama,8.4,1,137636
mystery,8.4,1,137636
sci-fi,8.4,1,137636
space,8.4,1,137636
drama,8.4,26,29528
shounen,8.4,26,29528
sports,8.4,26,29528
action,8.4,7,42076
drama,8.4,7,42076
mecha,8.4,7,42076
military,8.4,7,42076
sci-fi,8.4,7,42076
space,8.4,7,42076
drama,8.4,1,28302
fantasy,8.4,1,28302
shoujo,8.4,1,28302
slice of life,8.4,1,28302
supernatural,8.4,1,28302
comedy,8.4,24,291228
drama,8.4,24,291228
psychological,8.4,24,291228
romance,8.4,24,291228
adventure,8.4,40,32188
drama,8.4,40,32188
historical,8.4,40,32188
romance,8.4,40,32188
shoujo,8.4,40,32188
comedy,8.4,24,380375
drama,8.4,24,380375
romance,8.4,24,380375
school,8.4,24,380375
slice of life,8.4,24,380375
action,8.39,13,717796
comedy,8.39,13,717796
drama,8.39,13,717796
school,8.39,13,717796
supernatural,8.39,13,717796
mystery,8.39,15,482268
romance,8.39,15,482268
supernatural,8.39,15,482268
vampire,8.39,15,482268
mystery,8.39,12,83641
seinen,8.39,12,83641
supernatural,8.39,12,83641
comedy,8.39,1,47840
shounen,8.39,1,47840
sports,8.39,1,47840
action,8.39,1,76051
adventure,8.39,1,76051
comedy,8.39,1,76051
drama,8.39,1,76051
fantasy,8.39,1,76051
shounen,8.39,1,76051
comedy,8.39,26,422271
harem,8.39,26,422271
romance,8.39,26,422271
school,8.39,26,422271
shoujo,8.39,26,422271
action,8.38,1,21798
mystery,8.38,1,21798
police,8.38,1,21798
shounen,8.38,1,21798
action,8.38,24,556431
mystery,8.38,24,556431
supernatural,8.38,24,556431
comedy,8.38,11,67697
josei,8.38,11,67697
music,8.38,11,67697
romance,8.38,11,67697
drama,8.38,26,105044
romance,8.38,26,105044
sci-fi,8.38,26,105044
seinen,8.38,26,105044
space,8.38,26,105044
music,8.38,1,71136
sci-fi,8.38,1,71136
adventure,8.38,1,151061
fantasy,8.38,1,151061
romance,8.38,1,151061
sci-fi,8.38,1,151061
action,8.37,1,27213
comedy,8.37,1,27213
historical,8.37,1,27213
parody,8.37,1,27213
sci-fi,8.37,1,27213
drama,8.37,12,61493
josei,8.37,12,61493
romance,8.37,12,61493
action,8.37,26,99128
adventure,8.37,26,99128
comedy,8.37,26,99128
demons,8.37,26,99128
fantasy,8.37,26,99128
magic,8.37,26,99128
romance,8.37,26,99128
shounen,8.37,26,99128
supernatural,8.37,26,99128
fantasy,8.37,1,45547
historical,8.37,1,45547
action,8.37,203,258103
comedy,8.37,203,258103
shounen,8.37,203,258103
super power,8.37,203,258103
comedy,8.37,10,122895
demons,8.37,10,122895
fantasy,8.37,10,122895
historical,8.37,10,122895
shounen,8.37,10,122895
supernatural,8.37,10,122895
adventure,8.37,13,334932
fantasy,8.37,13,334932
historical,8.37,13,334932
romance,8.37,13,334932
action,8.36,13,282002
comedy,8.36,13,282002
school,8.36,13,282002
shounen,8.36,13,282002
super power,8.36,13,282002
comedy,8.36,11,67032
school,8.36,11,67032
shounen,8.36,11,67032
slice of life,8.36,11,67032
comedy,8.36,13,71820
drama,8.36,13,71820
romance,8.36,13,71820
school,8.36,13,71820
slice of life,8.36,13,71820
supernatural,8.36,13,71820
comedy,8.36,1,12282
drama,8.36,1,12282
sports,8.36,1,12282
action,8.36,13,27532
adventure,8.36,13,27532
martial arts,8.36,13,27532
shounen,8.36,13,27532
super power,8.36,13,27532
supernatural,8.36,13,27532
comedy,8.36,77,101027
school,8.36,77,101027
shounen,8.36,77,101027
comedy,8.35,25,246899
romance,8.35,25,246899
shounen,8.35,25,246899
comedy,8.35,12,258914
school,8.35,12,258914
shounen,8.35,12,258914
slice of life,8.35,12,258914
drama,8.35,1,189741
psychological,8.35,1,189741
romance,8.35,1,189741
slice of life,8.35,1,189741
fantasy,8.35,1,59815
slice of life,8.35,1,59815
supernatural,8.35,1,59815
comedy,8.35,26,28002
drama,8.35,26,28002
shounen,8.35,26,28002
sports,8.35,26,28002
drama,8.35,1,53590
mystery,8.35,1,53590
psychological,8.35,1,53590
comedy,8.34,1,31856
romance,8.34,1,31856
slice of life,8.34,1,31856
action,8.34,1,223036
mecha,8.34,1,223036
police,8.34,1,223036
psychological,8.34,1,223036
sci-fi,8.34,1,223036
seinen,8.34,1,223036
comedy,8.34,1,115252
music,8.34,1,115252
slice of life,8.34,1,115252
action,8.34,1,22900
school,8.34,1,22900
shounen,8.34,1,22900
sports,8.34,1,22900
action,8.34,1,13315
comedy,8.34,1,13315
drama,8.34,1,13315
magic,8.34,1,13315
super power,8.34,1,13315
action,8.34,1,58492
adventure,8.34,1,58492
drama,8.34,1,58492
fantasy,8.34,1,58492
historical,8.34,1,58492
romance,8.34,1,58492
sci-fi,8.34,1,38147
thriller,8.34,1,38147
comedy,8.34,13,74941
drama,8.34,13,74941
mystery,8.34,13,74941
psychological,8.34,13,74941
supernatural,8.34,13,74941
action,8.33,1,65594
adventure,8.33,1,65594
demons,8.33,1,65594
drama,8.33,1,65594
fantasy,8.33,1,65594
horror,8.33,1,65594
military,8.33,1,65594
seinen,8.33,1,65594
supernatural,8.33,1,65594
drama,8.33,12,383914
game,8.33,12,383914
mystery,8.33,12,383914
psychological,8.33,12,383914
thriller,8.33,12,383914
action,8.33,51,600384
adventure,8.33,51,600384
comedy,8.33,51,600384
drama,8.33,51,600384
fantasy,8.33,51,600384
magic,8.33,51,600384
military,8.33,51,600384
shounen,8.33,51,600384
game,8.33,26,98996
psychological,8.33,26,98996
seinen,8.33,26,98996
thriller,8.33,26,98996
action,8.33,8,57029
adventure,8.33,8,57029
shounen,8.33,8,57029
super power,8.33,8,57029
action,8.33,1,109392
cars,8.33,1,109392
sci-fi,8.33,1,109392
sports,8.33,1,109392
drama,8.32,25,158561
game,8.32,25,158561
josei,8.32,25,158561
slice of life,8.32,25,158561
sports,8.32,25,158561
action,8.32,1,6229
mystery,8.32,1,6229
police,8.32,1,6229
shounen,8.32,1,6229
action,8.32,291,375662
adventure,8.32,291,375662
comedy,8.32,291,375662
fantasy,8.32,291,375662
martial arts,8.32,291,375662
shounen,8.32,291,375662
super power,8.32,291,375662
action,8.32,1,106382
fantasy,8.32,1,106382
magic,8.32,1,106382
shounen,8.32,1,106382
supernatural,8.32,1,106382
drama,8.32,1,59652
romance,8.32,1,59652
school,8.32,1,59652
adventure,8.32,1,94435
drama,8.32,1,94435
fantasy,8.32,1,94435
romance,8.32,1,94435
slice of life,8.32,1,94435
drama,8.32,26,224947
fantasy,8.32,26,224947
romance,8.32,26,224947
action,8.32,26,461946
dementia,8.32,26,461946
drama,8.32,26,461946
mecha,8.32,26,461946
psychological,8.32,26,461946
sci-fi,8.32,26,461946
action,8.32,1,18642
adventure,8.32,1,18642
comedy,8.32,1,18642
drama,8.32,1,18642
fantasy,8.32,1,18642
shounen,8.32,1,18642
comedy,8.32,1,89424
drama,8.32,1,89424
action,8.32,26,283069
comedy,8.32,26,283069
sci-fi,8.32,26,283069
mystery,8.32,2,36353
supernatural,8.32,2,36353
action,8.31,1,14002
comedy,8.31,1,14002
historical,8.31,1,14002
parody,8.31,1,14002
samurai,8.31,1,14002
sci-fi,8.31,1,14002
shounen,8.31,1,14002
drama,8.31,1,88164
magic,8.31,1,88164
psychological,8.31,1,88164
thriller,8.31,1,88164
comedy,8.31,12,69253
drama,8.31,12,69253
romance,8.31,12,69253
shounen ai,8.31,12,69253
comedy,8.31,13,222994
drama,8.31,13,222994
romance,8.31,13,222994
school,8.31,13,222994
comedy,8.31,1,35120
romance,8.31,1,35120
school,8.31,1,35120
fantasy,8.3,26,39596
sci-fi,8.3,26,39596
shounen,8.3,26,39596
slice of life,8.3,26,39596
action,8.3,12,203233
seinen,8.3,12,203233
comedy,8.3,23,566690
drama,8.3,23,566690
romance,8.3,23,566690
school,8.3,23,566690
slice of life,8.3,23,566690
supernatural,8.3,23,566690
comedy,8.3,12,142612
harem,8.3,12,142612
romance,8.3,12,142612
shounen,8.3,12,142612
supernatural,8.3,12,142612
comedy,8.3,1,223359
sci-fi,8.3,1,223359
action,8.29,3,100412
comedy,8.29,3,100412
historical,8.29,3,100412
mystery,8.29,3,100412
seinen,8.29,3,100412
supernatural,8.29,3,100412
action,8.29,1,20602
mystery,8.29,1,20602
police,8.29,1,20602
shounen,8.29,1,20602
game,8.29,26,55566
psychological,8.29,26,55566
seinen,8.29,26,55566
thriller,8.29,26,55566
cars,8.29,4,19702
seinen,8.29,4,19702
sports,8.29,4,19702
adventure,8.29,12,56927
mystery,8.29,12,56927
romance,8.29,12,56927
sci-fi,8.29,12,56927
action,8.29,1,17247
adventure,8.29,1,17247
comedy,8.29,1,17247
drama,8.29,1,17247
fantasy,8.29,1,17247
shounen,8.29,1,17247
super power,8.29,1,17247
comedy,8.29,120,47092
school,8.29,120,47092
shounen,8.29,120,47092
supernatural,8.29,120,47092
comedy,8.28,1,60637
drama,8.28,1,60637
fantasy,8.28,1,60637
magic,8.28,1,60637
romance,8.28,1,60637
shoujo,8.28,1,60637
comedy,8.28,1,40623
shounen,8.28,1,40623
sports,8.28,1,40623
comedy,8.28,12,91796
demons,8.28,12,91796
fantasy,8.28,12,91796
romance,8.28,12,91796
shoujo,8.28,12,91796
supernatural,8.28,12,91796
comedy,8.28,25,134818
drama,8.28,25,134818
romance,8.28,25,134818
shoujo,8.28,25,134818
comedy,8.28,24,50778
drama,8.28,24,50778
shounen,8.28,24,50778
sports,8.28,24,50778
drama,8.27,24,103828
mystery,8.27,24,103828
sci-fi,8.27,24,103828
supernatural,8.27,24,103828
thriller,8.27,24,103828
adventure,8.27,1,152331
comedy,8.27,1,152331
drama,8.27,1,152331
fantasy,8.27,1,152331
magic,8.27,1,152331
romance,8.27,1,152331
comedy,8.27,11,70822
josei,8.27,11,70822
music,8.27,11,70822
romance,8.27,11,70822
slice of life,8.27,11,70822
action,8.27,1,24707
adventure,8.27,1,24707
comedy,8.27,1,24707
drama,8.27,1,24707
fantasy,8.27,1,24707
shounen,8.27,1,24707
super power,8.27,1,24707
comedy,8.27,25,60988
parody,8.27,25,60988
comedy,8.27,13,60918
sci-fi,8.27,13,60918
space,8.27,13,60918
drama,8.27,1,45189
comedy,8.26,12,104893
music,8.26,12,104893
sci-fi,8.26,6,99074
slice of life,8.26,6,99074
sci-fi,8.26,1,66376
slice of life,8.26,1,66376
comedy,8.26,26,391628
romance,8.26,26,391628
school,8.26,26,391628
shoujo,8.26,26,391628
adventure,8.26,13,23701
